category,case_number
DRUG,CR-23-683146-A
DRUG,CR-23-683147-A
DRUG,CR-23-683163-A
DRUG,CR-23-683164-A
DRUG,CR-23-683169-A
DRUG,CR-23-683172-A
DRUG,CR-23-683192-A
DRUG,CR-23-683200-A
DRUG,CR-23-683217-A
DRUG,CR-23-683219-A
DRUG,CR-23-683222-A
DRUG,CR-23-683225-A
DRUG,CR-23-683234-A
DRUG,CR-23-683235-A
DRUG,CR-23-683236-A
DRUG,CR-23-683241-A
DRUG,CR-23-683242-A
DRUG,CR-23-683266-A
DRUG,CR-23-683269-A
DRUG,CR-23-683277-A
DRUG,CR-23-683281-A
DRUG,CR-23-683282-A
DRUG,CR-23-683284-A
DRUG,CR-23-683294-A
DRUG,CR-23-683297-A
DRUG,CR-23-683298-A
DRUG,CR-23-683300-A
DRUG,CR-23-683315-A
DRUG,CR-23-683318-A
DRUG,CR-23-683326-A
DRUG,CR-23-683327-A
DRUG,CR-23-683335-A
DRUG,CR-23-683338-A
DRUG,CR-23-683339-A
DRUG,CR-23-683340-A
DRUG,CR-23-683357-A
DRUG,CR-23-683375-A
DRUG,CR-23-683391-A
DRUG,CR-23-683392-A
DRUG,CR-23-683403-A
DRUG,CR-23-683414-A
DRUG,CR-23-683421-A
DRUG,CR-23-683422-A
DRUG,CR-23-683424-A
DRUG,CR-23-683425-A
DRUG,CR-23-683428-A
DRUG,CR-23-683436-A
DRUG,CR-23-683455-A
DRUG,CR-23-683467-A
DRUG,CR-23-683477-A
DRUG,CR-23-683481-A
DRUG,CR-23-683485-A
DRUG,CR-23-683490-A
DRUG,CR-23-683491-A
DRUG,CR-23-683497-A
DRUG,CR-23-683498-A
DRUG,CR-23-683499-A
DRUG,CR-23-683504-A
DRUG,CR-23-683507-A
DRUG,CR-23-683508-A
DRUG,CR-23-683510-A
DRUG,CR-23-683511-A
DRUG,CR-23-683512-A
DRUG,CR-23-683527-A
DRUG,CR-23-683530-A
DRUG,CR-23-683545-A
DRUG,CR-23-683547-A
DRUG,CR-23-683559-A
DRUG,CR-23-683579-A
DRUG,CR-23-683580-A
DRUG,CR-23-683611-A
DRUG,CR-23-683626-A
DRUG,CR-23-683629-A
DRUG,CR-23-683630-A
DRUG,CR-23-683631-A
DRUG,CR-23-683632-A
DRUG,CR-23-683633-A
DRUG,CR-23-683687-A
DRUG,CR-23-683703-A
DRUG,CR-23-683704-A
DRUG,CR-23-683705-A
DRUG,CR-23-683706-A
DRUG,CR-23-683717-A
DRUG,CR-23-683725-A
DRUG,CR-23-683736-A
DRUG,CR-23-683739-A
DRUG,CR-23-683742-A
DRUG,CR-23-683766-A
DRUG,CR-23-683768-A
DRUG,CR-23-683770-A
DRUG,CR-23-683775-A
DRUG,CR-23-683781-A
DRUG,CR-23-683784-A
DRUG,CR-23-683810-A
DRUG,CR-23-683813-A
DRUG,CR-23-683817-A
DRUG,CR-23-683824-A
DRUG,CR-23-683827-A
DRUG,CR-23-683841-A
DRUG,CR-23-683846-A
DRUG,CR-23-683856-A
DRUG,CR-23-683859-A
DRUG,CR-23-683862-A
DRUG,CR-23-683868-A
DRUG,CR-23-683870-A
DRUG,CR-23-683871-A
DRUG,CR-23-683873-A
DRUG,CR-23-683874-A
DRUG,CR-23-683884-A
DRUG,CR-23-683907-A
DRUG,CR-23-683908-A
DRUG,CR-23-683912-A
DRUG,CR-23-683914-A
DRUG,CR-23-683915-A
DRUG,CR-23-683929-A
DRUG,CR-23-683930-A
DRUG,CR-23-683947-A
DRUG,CR-23-683954-A
DRUG,CR-23-683955-A
DRUG,CR-23-683957-A
DRUG,CR-23-683980-A
DRUG,CR-23-683983-A
DRUG,CR-23-684012-A
DRUG,CR-23-684013-A
DRUG,CR-23-684017-A
DRUG,CR-23-684022-A
DRUG,CR-23-684035-A
DRUG,CR-23-684039-A
DRUG,CR-23-684042-A
DRUG,CR-23-684044-A
DRUG,CR-23-684045-A
DRUG,CR-23-684046-A
DRUG,CR-23-684047-A
DRUG,CR-23-684048-A
DRUG,CR-23-684083-A
DRUG,CR-23-684088-A
DRUG,CR-23-684093-A
DRUG,CR-23-684095-A
DRUG,CR-23-684099-A
DRUG,CR-23-684125-A
DRUG,CR-23-684128-A
DRUG,CR-23-684145-A
