case_key,earliest_file,latest_file,earliest_count,latest_count,delta,sample_latest
2024-692309,2024-692309_20251119_144008.json,2024-692309_20251119_144008.json,7,7,0,2907.02.A(2) | 2907.05.A(1) | 2903.18.(B)(1) | 2903.18.(B)(2) | 2903.18.(B)(3)
2025-700210,2025-700210_20251120_133654.json,2025-700210_20251120_133654.json,4,4,0,"2911.02.A(2) | 2911.02.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698404,2025-698404_20251120_065604.json,2025-698404_20251120_065604.json,8,8,0,"2909.03.A(1) | 2911.13.A | 2919.25.A | 2911.12.B | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698865,2025-698865_20251120_084039.json,2025-698865_20251120_084039.json,6,6,0,2903.04 | 2903.02.B | 2903.11.A(1) | 2903.11.A(2) | 2923.12.A(2)
2023-684692,2023-684692_20251111_104601.json,2023-684692_20251111_104601.json,4,4,0,
2023-677947,2023-677947_20251116_135114.json,2023-677947_20251116_135114.json,9,9,0,2911.02.A(2) | 2905.02.A(2) | 2919.25.A | 2913.02.A(1) | 2909.06.A(1)
2023-684559,2023-684559_20251118_163118.json,2023-684559_20251118_163118.json,3,3,0,"2903.12.A(1) | 2903.11.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-687896,2023-687896_20251111_151656.json,2023-687896_20251111_151656.json,4,4,0,
2023-678279,2023-678279_20251116_164256.json,2023-678279_20251116_164256.json,4,4,0,"2921.331.B | 2921.331.B | 2913.51.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-685268,2023-685268_20251111_113845.json,2023-685268_20251111_113845.json,5,5,0,
2023-680880,2023-680880_20251110_151408.json,2023-680880_20251110_151408.json,5,5,0,
2023-678819,2023-678819_20251116_205342.json,2023-678819_20251116_205342.json,3,3,0,"2903.13.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None} | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-689691,2024-689691_20251119_075410.json,2024-689691_20251119_075410.json,4,4,0,"2919.22.A | 2903.11.A(1) | 2919.25.A | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-692544,2024-692544_20251119_151720.json,2024-692544_20251119_151720.json,2,2,0,"2919.25.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-697667,2024-697667_20251120_044844.json,2024-697667_20251120_044844.json,4,4,0,"2911.01.A(1) | 2911.02.A(2) | 2923.13.A(2) | {'type': 'CASH/SURETY/PROP.', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-695661,2024-695661_20251119_231521.json,2024-695661_20251119_231521.json,3,3,0,"2911.12.A(1) | 2911.12.A(3) | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2024-693267,2024-693267_20251119_164339.json,2024-693267_20251119_164339.json,6,6,0,2911.11.A(1) | 2903.18.(B)(3) | 2903.13.A | 2913.02.A(1) | 2921.33.A
2025-698424,2025-698424_20251120_070406.json,2025-698424_20251120_070406.json,3,3,0,"2911.13.A | 2913.02.A(1) | {'type': 'PERSONAL', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-698767,2025-698767_20251120_081243.json,2025-698767_20251120_081243.json,10,10,0,2903.01.A | 2903.02.A | 2903.02.B | 2911.11.A(1) | 2911.11.A(2)
2025-698663,2025-698663_20251120_075137.json,2025-698663_20251120_075137.json,16,16,0,2903.02.A | 2903.02.A | 2903.11.A(1) | 2903.11.A(2) | 2903.11.A(1)
2025-698566,2025-698566_20251120_072740.json,2025-698566_20251120_072740.json,5,5,0,"2911.12.A(1) | 2913.02.A(1) | 2909.06.A(1) | 2903.13.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2025-701630,2025-701630_20251120_211733.json,2025-701630_20251120_211733.json,4,4,0,"2925.11.A | 2921.31.A | 2921.33.A | {'type': 'CASH/SUR/PROP/10%', 'statute': '', 'charge_description': '', 'disposition': None, 'disposition_date': None, 'plea': None, 'verdict': None, 'sentence': None}"
2023-684838,2023-684838_20251111_110020.json,2023-684838_20251111_110020.json,4,4,0,
