case_id,latest_file,deletable_count_or_reason,mutated_count_or_details
CR-23-686078-A,out/2023/2023-686078_20251118_205248.json,[],"[('out/2023/2023-686078_20251111_124431.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T12:44:31.871504+00:00"" -> ""2025-11-18T20:52:48.187393+00:00""')]"
CR-23-684827-A,out/2023/2023-684827_20251111_105917.json,[],"[('out/2023/2023-684827_20251110_011454.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T01:14:54.466990+00:00"" -> ""2025-11-11T10:59:17.634368+00:00""'), ('out/2023/2023-684827_20251110_011911.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T01:19:11.489935+00:00"" -> ""2025-11-11T10:59:17.634368+00:00""')]"
CR-23-687715-A,out/2023/2023-687715_20251119_015853.json,[],"[('out/2023/2023-687715_20251111_150508.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T15:05:08.708329+00:00"" -> ""2025-11-19T01:58:53.331870+00:00""'), ('out/2023/2023-687715_20251119_015727.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T01:57:27.900595+00:00"" -> ""2025-11-19T01:58:53.331870+00:00""')]"
CR-23-679272-A,out/2023/2023-679272_20251110_192511.json,[],"[('out/2023/2023-679272_20251110_133209.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T13:32:09.950559+00:00"" -> ""2025-11-10T19:25:11.017539+00:00""')]"
CR-23-677514-A,out/2023/2023-677514_20251116_094056.json,[],"[('out/2023/2023-677514_20251110_122310.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T12:23:10.229463+00:00"" -> ""2025-11-16T09:40:56.466947+00:00""'), ('out/2023/2023-677514_20251110_123027.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T12:30:27.530143+00:00"" -> ""2025-11-16T09:40:56.466947+00:00""'), ('out/2023/2023-677514_20251116_092210.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-16T09:22:10.818703+00:00"" -> ""2025-11-16T09:40:56.466947+00:00""')]"
CR-23-679480-A,out/2023/2023-679480_20251117_073921.json,[],"[('out/2023/2023-679480_20251110_134305.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T13:43:05.094498+00:00"" -> ""2025-11-17T07:39:21.186609+00:00""'), ('out/2023/2023-679480_20251110_194143.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T19:41:46.342386+00:00"" -> ""2025-11-17T07:39:21.186609+00:00""')]"
CR-23-678567-A,out/2023/2023-678567_20251116_185407.json,[],"[('out/2023/2023-678567_20251110_182804.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T18:28:04.067813+00:00"" -> ""2025-11-16T18:54:07.482074+00:00""')]"
CR-23-687543-A,out/2023/2023-687543_20251119_012436.json,[],"[('out/2023/2023-687543_20251111_145037.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:50:37.706435+00:00"" -> ""2025-11-19T01:24:36.893554+00:00""')]"
CR-23-677617-A,out/2023/2023-677617_20251116_104522.json,[],"[('out/2023/2023-677617_20251110_123931.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T12:39:31.836521+00:00"" -> ""2025-11-16T10:45:22.879794+00:00""'), ('out/2023/2023-677617_20251110_170148.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:01:48.321339+00:00"" -> ""2025-11-16T10:45:22.879794+00:00""')]"
CR-23-679921-A,out/2023/2023-679921_20251117_084128.json,[],"[('out/2023/2023-679921_20251110_203001.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T20:30:01.803516+00:00"" -> ""2025-11-17T08:41:28.820511+00:00""')]"
CR-23-681736-A,out/2023/2023-681736_20251117_124553.json,[],"[('out/2023/2023-681736_20251110_160731.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T16:07:31.850772+00:00"" -> ""2025-11-17T12:45:53.364348+00:00""')]"
CR-23-687305-A,out/2023/2023-687305_20251119_003835.json,[],"[('out/2023/2023-687305_20251111_143225.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T14:32:25.068344+00:00"" -> ""2025-11-19T00:38:35.206457+00:00""'), ('out/2023/2023-687305_20251119_003150.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-19T00:31:50.383882+00:00"" -> ""2025-11-19T00:38:35.206457+00:00""')]"
CR-23-681617-A,out/2023/2023-681617_20251117_122707.json,[],"[('out/2023/2023-681617_20251111_061655.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T06:16:55.596428+00:00"" -> ""2025-11-17T12:27:07.081069+00:00""')]"
CR-23-683744-A,out/2023/2023-683744_20251118_140733.json,[],"[('out/2023/2023-683744_20251111_092131.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T09:21:31.199275+00:00"" -> ""2025-11-18T14:07:33.815319+00:00""')]"
CR-23-686108-A,out/2023/2023-686108_20251118_205559.json,[],"[('out/2023/2023-686108_20251111_124648.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T12:46:48.930948+00:00"" -> ""2025-11-18T20:55:59.373215+00:00""')]"
CR-23-677948-A,out/2023/2023-677948_20251116_135142.json,[],"[('out/2023/2023-677948_20251110_173029.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:30:29.041459+00:00"" -> ""2025-11-16T13:51:42.641636+00:00""')]"
CR-23-679617-A,out/2023/2023-679617_20251110_195907.json,[],"[('out/2023/2023-679617_20251110_135440.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T13:54:40.918426+00:00"" -> ""2025-11-10T19:59:07.289986+00:00""')]"
CR-23-683065-A,out/2023/2023-683065_20251118_122239.json,[],"[('out/2023/2023-683065_20251111_081932.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T08:19:32.757477+00:00"" -> ""2025-11-18T12:22:39.164304+00:00""')]"
CR-23-677626-A,out/2023/2023-677626_20251116_105128.json,[],"[('out/2023/2023-677626_20251110_170214.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:02:14.643816+00:00"" -> ""2025-11-16T10:51:28.742436+00:00""')]"
CR-23-686304-A,out/2023/2023-686304_20251118_213131.json,[],"[('out/2023/2023-686304_20251111_130356.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T13:03:56.629052+00:00"" -> ""2025-11-18T21:31:31.678452+00:00""'), ('out/2023/2023-686304_20251118_213001.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-18T21:30:01.153113+00:00"" -> ""2025-11-18T21:31:31.678452+00:00""')]"
CR-23-684798-A,out/2023/2023-684798_20251118_170030.json,[],"[('out/2023/2023-684798_20251111_105719.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-11T10:57:19.315593+00:00"" -> ""2025-11-18T17:00:30.916896+00:00""')]"
CR-23-685101-A,out/2023/2023-685101_20251111_112608.json,[],"[('out/2023/2023-685101_20251109_214246.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-09T21:42:46.652426+00:00"" -> ""2025-11-11T11:26:08.460378+00:00""')]"
CR-23-681226-A,out/2023/2023-681226_20251111_054340.json,[],"[('out/2023/2023-681226_20251110_153404.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T15:34:04.932802+00:00"" -> ""2025-11-11T05:43:40.044064+00:00""')]"
CR-23-677814-A,out/2023/2023-677814_20251116_123708.json,[],"[('out/2023/2023-677814_20251110_171828.json', 'key metadata: key scraped_at: scalar changed: ""2025-11-10T17:18:28.144348+00:00"" -> ""2025-11-16T12:37:08.857089+00:00""')]"
