Attorney Name,Number of Cases,Guilty,Not Guilty,Dismissed,Other,Success Rate
SCOTT  CLAUSSEN,12,11,0,15,26,28.85%
JOHN JOSEPH DOWELL,34,34,1,49,69,32.68%
FRANKLIN T TRIOZZI,33,32,0,41,66,29.50%
CLARISSA  SMITH,34,24,0,47,140,22.27%
ANNE D VENEZIANO,1,0,0,7,3,70.00%
RONALD S SPEARS,1,0,0,0,2,0.00%
EDWARD M MULLIN,28,18,0,33,102,21.57%
BRIAN M FALLON,14,27,0,32,39,32.65%
SAGAN  KAHLER,5,5,0,11,6,50.00%
LESLIE S. JOHNSON,1,0,0,5,1,83.33%
HUGH D MCDANIEL III,1,1,0,0,1,0.00%
BRANT N DICHIERA,9,15,0,41,46,40.20%
GINO  PULITO,1,0,0,4,1,80.00%
ERIN R FLANAGAN,1,2,0,0,1,0.00%
RONALD J O'LEARY,1,1,0,0,1,0.00%
ISAIAH  PINCKNEY III,1,1,0,0,2,0.00%
JAMES L HARDIMAN,3,3,0,21,4,75.00%
KENNETH D MYERS,1,1,0,1,1,33.33%
ELIZABETH A MEERS,6,6,0,3,19,10.71%
JAMES W REARDON,4,9,0,10,6,40.00%
MARK  IMMORMINO,5,5,0,5,6,31.25%
CHRISTOPHER  RIVERO,18,19,0,15,35,21.74%
STEVEN  GAULDING,7,9,0,13,8,43.33%
RICHARD D MCCLURE,1,1,0,0,1,0.00%
ALAN H KRAUS,1,0,0,1,2,33.33%
MICHAEL V. WILHELM,1,0,0,2,1,66.67%
ALISSA R BARBOSKY,36,38,1,36,70,25.52%
JAIME P. SERRAT,1,1,0,1,1,33.33%
RYAN  HADDOX,3,2,0,1,5,12.50%
JAMES A JENKINS,28,43,0,32,67,22.54%
EDWARD O PALM,2,0,0,1,4,20.00%
GINA  VILLA,10,5,0,1,33,2.56%
JAMES EDWARD KOCKA,15,14,0,21,43,26.92%
DONALD S TITTLE,2,2,0,1,2,20.00%
MARY ELAINE HALL,7,17,0,8,8,24.24%
ROBERT  SMITH,6,8,0,18,10,50.00%
NATHANIEL G SZEP,33,46,0,69,65,38.33%
CHARLYN  BOHLAND,2,4,0,13,2,68.42%
EDELE  PASSALACQUA,19,18,0,14,51,16.87%
ISSAC TOM MONAH,5,7,0,3,7,17.65%
BERT L ROSE,1,0,0,1,1,50.00%
JACK S MALKIN,1,1,0,2,1,50.00%
JOSEPH B ROSE III,1,1,0,2,1,50.00%
DAVID L GRANT,5,9,0,12,12,36.36%
RACHEL A KOPEC,3,21,0,9,3,27.27%
JASON  HARLESS,4,1,0,4,10,26.67%
