case_id,num_files,files
677673,2,out/2023/2023-677673_20251116_111306.json;out/2023/2023-677673_20251110_170608.json
677677,2,out/2023/2023-677677_20251110_170626.json;out/2023/2023-677677_20251116_111332.json
677679,2,out/2023/2023-677679_20251110_170626.json;out/2023/2023-677679_20251116_111424.json
677680,2,out/2023/2023-677680_20251110_170626.json;out/2023/2023-677680_20251116_111451.json
677681,2,out/2023/2023-677681_20251110_170627.json;out/2023/2023-677681_20251116_111517.json
677682,2,out/2023/2023-677682_20251110_170627.json;out/2023/2023-677682_20251116_111612.json
677683,2,out/2023/2023-677683_20251110_170627.json;out/2023/2023-677683_20251116_111703.json
677684,2,out/2023/2023-677684_20251110_170645.json;out/2023/2023-677684_20251116_111754.json
677687,2,out/2023/2023-677687_20251116_111820.json;out/2023/2023-677687_20251110_170646.json
677695,2,out/2023/2023-677695_20251110_170712.json;out/2023/2023-677695_20251116_111922.json
677698,2,out/2023/2023-677698_20251110_170711.json;out/2023/2023-677698_20251116_111950.json
677700,3,out/2023/2023-677700_20251116_112046.json;out/2023/2023-677700_20251110_170731.json;out/2023/2023-677700_20251110_124203.json
677701,2,out/2023/2023-677701_20251110_124203.json;out/2023/2023-677701_20251116_112113.json
677702,2,out/2023/2023-677702_20251116_112216.json;out/2023/2023-677702_20251110_124203.json
677703,3,out/2023/2023-677703_20251116_112317.json;out/2023/2023-677703_20251110_124204.json;out/2023/2023-677703_20251110_170732.json
677704,2,out/2023/2023-677704_20251116_112414.json;out/2023/2023-677704_20251110_124204.json
677705,2,out/2023/2023-677705_20251110_124205.json;out/2023/2023-677705_20251116_112512.json
