case_number,source_file,charges,events
CR-23-677782-A,2023_cases_comprehensive.csv,"INDICT,2903.01.A,AGGRAVATED MURDER,NOLLE | INDICT,2903.02.A,MURDER,NOLLE | INDICT,2903.04.A,INVOLUNTARY MANSLAUGHTER,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE","09/20/2023,PRETRIAL HELD | 08/31/2023,PRETRIAL HELD | 08/16/2023,PRETRIAL HELD | 08/01/2023,PRETRIAL HELD | 07/13/2023,PRETRIAL HELD | 06/13/2023,PRETRIAL HELD | 05/23/2023,PRETRIAL HELD | 05/09/2023,PRETRIAL HELD | 04/13/2023,PRETRIAL HELD | 03/28/2023,PRETRIAL HELD | 03/13/2023,PRETRIAL HELD | 02/22/2023,PRETRIAL HELD | 02/08/2023,PRETRIAL HELD | 01/25/2023,INDICTED ORIGINAL | 01/13/2023,ARRESTE"
CR-23-677784-A,2023_cases_comprehensive.csv,"INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.A,AGGRAVATED MURDER,DISM OTHER | INDICT,2903.01.C,""ATTEMPTED, AGGRAVATED MURDER"",DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER | INDICT,2903.02.A,MURDER,DISM OTHER |","08/29/2023,CASE DISMISSED | 07/11/2023,PRETRIAL HELD | 05/10/2023,PRETRIAL HELD | 03/23/2023,PRETRIAL HELD | 01/31/2023,PRETRIAL HELD | 01/20/2023,INDICTED ORIGINAL | 01/13/2023,ARRESTED"
CR-23-677794-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.21.A,AGGRAVATED MENACING,PLD GLTY- N/C - IND @ P/T","03/27/2024,PV HELD | 10/31/2023,PRETRIAL HELD | 10/24/2023,PRETRIAL HELD | 10/03/2023,PRETRIAL HELD | 09/19/2023,PRETRIAL HELD | 09/12/2023,PRETRIAL HELD | 08/30/2023,PRETRIAL HELD | 05/15/2023,FINAL PRETRIAL HELD | 04/04/2023,PRETRIAL HELD | 03/21/2023,PRETRIAL HELD | 03/14/2023,PRETRIAL HELD | 02/23/2023,PRETRIAL HELD | 02/06/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/19/2023,FIRST A"
CR-23-677799-A,2023_cases_comprehensive.csv,"N/A,2903.11,FELONIOUS ASSAULT,No Billed",N/A
CR-23-677810-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2911.21.A(3),CRIMINAL TRESPASS,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.13.A,ASSAULT,PLD GLTY- N/C LIO-AMEND @ P/T","01/30/2023,INDICTED BINDOVER | 01/17/2023,BINDOVER CIF#CI237617AO | 01/12/2023,ARRESTED"
CR-23-677820-A,2023_cases_comprehensive.csv,"INDICT,2911.02,""ATTEMPTED, ROBBERY"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2905.02,ABDUCTION,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(1),FELONIOUS ASSAULT,NOLLE","01/23/2023,INDICTED ORIGINAL"
CR-23-677830-A,2023_cases_comprehensive.csv,"INDICT,2911.11.A(1),AGGRAVATED BURGLARY,NOLLE | INDICT,2911.02.A(2),ROBBERY,NOLLE | INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,NOLLE | INDICT,2909.06.A(1),CRIMINAL DAMAGING,PLD GLTY- N/C - IND @ P/T","07/10/2023,PRETRIAL HELD | 06/27/2023,PRETRIAL HELD | 06/13/2023,PRETRIAL HELD | 05/22/2023,PRETRIAL HELD | 05/02/2023,PRETRIAL HELD | 04/18/2023,PRETRIAL HELD | 03/29/2023,PRETRIAL HELD | 03/16/2023,PRETRIAL HELD | 02/22/2023,PRETRIAL HELD | 01/23/2023,INDICTED BINDOVER | 01/16/2023,ARRESTED | 01/16/2023,BINDOVER CIF#CI234281BQ"
CR-23-677834-A,2023_cases_comprehensive.csv,"INDICT,2923.161.A(1),IMPROPER DISCHARGING FIREARM AT OR INTO HABITATION OR SCHOOL,NOLLE | INDICT,2923.161.A(1),IMPROPER DISCHARGING FIREARM AT OR INTO HABITATION OR SCHOOL,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),PLD GLTY- N/C - IND @ P/T | INDICT,2909.06.A(1),CRIMINAL DAMAGING,PLD GLTY- N/C - IND @ ","06/26/2023,PRETRIAL HELD | 06/12/2023,PRETRIAL HELD | 05/31/2023,PRETRIAL HELD | 05/08/2023,PRETRIAL HELD | 03/27/2023,PRETRIAL HELD | 03/06/2023,PRETRIAL HELD | 01/19/2023,INDICTED ORIGINAL"
CR-23-677838-A,2023_cases_comprehensive.csv,"INDICT,2923.161.A(1),""ATTEMPTED, IMPROPER DISCHARGING FIREARM AT OR INTO HABITATION OR SCHOOL"",PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2903.11.A(2),FELONIOUS ASSAULT,NOLLE | INDICT,2905.02.A(2),ABDUCTION,NOLLE | INDICT,2923.13.A(2),HAVING WEAPONS WHILE UNDER DISABILITY,PLD GLTY- N/C LIO-AMEND @ P/T | INDICT,2903.13.A,ASSAULT,PLD GLTY- N/C - IND @ P/T","04/03/2024,PRETRIAL HELD | 03/27/2024,PRETRIAL HELD | 03/14/2024,PRETRIAL HELD | 02/22/2024,PRETRIAL HELD | 02/15/2024,PRETRIAL HELD | 10/05/2023,FINAL PRETRIAL HELD | 08/31/2023,FINAL PRETRIAL HELD | 07/19/2023,FINAL PRETRIAL HELD | 06/14/2023,PRETRIAL HELD | 06/01/2023,PRETRIAL HELD | 06/01/2023,PRETRIAL HELD | 05/25/2023,PRETRIAL HELD | 05/11/2023,PRETRIAL HELD | 04/25/2023,FINAL PRETRIAL HELD "
CR-23-677867-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),FELONIOUS ASSAULT,DISM OTHER | INDICT,2919.25.A,DOMESTIC VIOLENCE (PC),DISM OTHER | INDICT,2905.02.A(2),ABDUCTION,DISM OTHER | INDICT,2913.02.A(1),THEFT; AGGRAVATED THEFT,DISM OTHER | INDICT,2909.06.A(1),CRIMINAL DAMAGING,DISM OTHER","09/19/2023,CASE DISMISSED | 07/17/2023,PRETRIAL HELD | 06/28/2023,PRETRIAL HELD | 06/07/2023,PRETRIAL HELD | 05/24/2023,PRETRIAL HELD | 05/08/2023,PRETRIAL HELD | 04/24/2023,PRETRIAL HELD | 04/12/2023,PRETRIAL HELD | 04/04/2023,PRETRIAL HELD | 03/16/2023,PRETRIAL HELD | 03/10/2023,PRETRIAL HELD | 03/03/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/23/2023,FIRST APPEARANCE | 01/20/2023,CPD"
CR-23-677871-A,2023_cases_comprehensive.csv,"INDICT,2903.11.A(1),""ATTEMPTED, FELONIOUS ASSAULT"",PLD GLTY- N/C LIO-AMEND @ P/T","06/26/2023,FINAL PRETRIAL HELD | 06/06/2023,PRETRIAL HELD | 04/13/2023,PRETRIAL HELD | 03/30/2023,PRETRIAL HELD | 03/16/2023,PRETRIAL HELD | 03/01/2023,PRETRIAL HELD | 01/25/2023,INDICTED BINDOVER | 01/19/2023,BINDOVER CIF#CI237686AO | 01/17/2023,ARRESTED"
